section_name,section_credits_required,section_order,specialization_name,course_code,item_order,course_title,course_credits
Pastoral Care Required Courses,9,0,,BT501,0,Biblical Narrative,3
Pastoral Care Required Courses,9,0,,NT(IBS)510/511,1,Inductive Bible Study,3
Pastoral Care Required Courses,9,0,,TH501,2,Basic Christian Doctrine,3
Christian Ministry Electives,6,1,,OTHER-CHRISTIA-CDCLYM-0,0,CD/CL/YM,6
